"longitude","latitude","sst","chlc","wind_speed","wind_direction","phoebastria_immutabilis","nyear","nmonth"
-116.34402,29.250114,17.202394,0.17070077,6.8173966,308.0298,1,2014,3
-115.704056,29.250158,16.370888,0.658005,7.230173,313.2066,1,2014,3
-118.55794,29.250273,17.193336,0.092057005,5.5947566,307.8121,1,2014,3
-116.1059,29.25032,17.141893,0.1772107,6.898942,307.8167,1,2014,3
-118.85364,29.250362,17.195282,0.090516016,5.544763,307.82062,1,2014,3
-118.22531,29.250378,17.202969,0.09163049,6.366011,306.7619,1,2014,3
-118.47591,29.250885,17.225302,0.090602614,6.2260823,306.5754,1,2014,3
-119.85469,29.251184,17.187994,0.09012305,6.013493,305.59305,1,2014,3
-117.416794,29.251324,17.281172,0.118555844,6.4227176,307.72632,1,2014,3
-119.41161,29.251497,17.139797,0.08912379,5.946436,306.17615,1,2014,3
-120.57384,29.251577,16.831202,0.097463414,6.086904,305.09998,1,2014,3
-116.51249,29.251883,17.311274,0.14751033,6.7954836,308.06726,1,2014,3
-115.997826,29.25315,16.894133,0.25152165,7.005041,309.43903,1,2014,3
-120.47263,29.254416,16.903631,0.096143536,6.0115304,304.90613,1,2014,3
-117.04424,29.256014,17.368177,0.12510519,6.6367235,307.71597,1,2014,3
-117.7011,29.257559,17.209612,0.11203225,6.4464717,307.56317,1,2014,3
-117.960205,29.261843,17.232971,0.099453904,6.77868,306.05844,1,2014,3
-116.99791,29.261967,17.360424,0.1331277,6.6551185,307.9203,1,2014,3
-119.52434,29.264072,17.176588,0.0885025,5.983285,305.6824,1,2014,3
-119.19448,29.266748,17.185476,0.08992906,5.710035,306.66922,1,2014,3
-120.22313,29.396925,17.080906,0.093536235,5.932158,305.32434,1,2014,3
-118.88344,29.500135,16.885796,0.09814127,5.6541667,309.54608,1,2014,3
-116.65252,29.500181,17.085787,0.19253105,6.551679,309.9847,1,2014,3
-116.44709,29.500414,16.870626,0.22867146,6.4288177,309.50888,1,2014,3
-117.57815,29.500496,17.07142,0.117057994,6.221929,311.22058,1,2014,3
-115.96809,29.500666,16.623253,0.45491025,6.6928396,307.77737,1,2014,3
-118.69789,29.501368,16.969408,0.0979884,5.6351132,309.31088,1,2014,3
-116.17173,29.501589,16.867172,0.23008345,6.5893626,308.03513,1,2014,3
-116.935745,29.501825,17.320091,0.13908884,6.5329394,309.0981,1,2014,3
-118.127625,29.50295,17.102903,0.10131682,6.0133185,310.68396,1,2014,3
-118.33795,29.503403,16.997852,0.10061258,5.686493,309.1476,1,2014,3
-117.11449,29.503572,17.279118,0.126516,6.492842,309.50052,1,2014,3
-117.89569,29.503828,17.149115,0.115184955,6.205296,310.62134,1,2014,3
-117.37964,29.506535,17.185385,0.12167832,6.455641,309.65784,1,2014,3
-119.339035,29.507887,16.69429,0.10269921,5.875483,308.15723,1,2014,3
-119.11484,29.519518,16.838753,0.09848923,5.7268925,308.69107,1,2014,3
-119.73002,29.522875,16.560646,0.10803278,5.960537,307.63892,1,2014,3
-119.96771,29.532885,16.358635,0.114732474,5.984321,307.4635,1,2014,3
-121.6561,29.570688,16.445204,0.10221598,5.9533606,304.9447,1,2014,3
-120.04973,29.571705,16.1883,0.11783582,5.904439,307.5686,1,2014,3
-121.79179,29.574932,16.47419,0.10239796,5.874317,303.47366,1,2014,3
-122.598694,29.577309,16.844326,0.073013455,5.5902505,299.82117,1,2014,3
-121.43023,29.577435,16.427715,0.10184158,5.9774575,305.60452,1,2014,3
-122.00664,29.57748,16.524311,0.09558394,5.7609463,303.02805,1,2014,3
-122.44524,29.579035,16.779135,0.07827011,5.664848,301.5015,1,2014,3
-122.756195,29.580273,16.981768,0.067365766,5.4343815,297.50812,1,2014,3
-121.19858,29.582207,16.39312,0.100836724,5.9582634,306.3314,1,2014,3
-120.301094,29.590235,16.19343,0.11095979,5.984012,306.9848,1,2014,3
-123.05941,29.59593,17.224825,0.057183355,5.3235326,295.1209,1,2014,3
-120.56257,29.60253,16.213665,0.101466365,6.046503,307.60904,1,2014,3
-120.97292,29.608917,16.297054,0.09914576,6.008161,307.2895,1,2014,3
-123.27807,29.63627,17.381697,0.05408362,5.22472,292.9826,1,2014,3
-123.55109,29.702208,17.375023,0.05354492,5.0862365,291.57132,1,2014,3
-117.165596,29.75011,17.259224,0.13694343,6.343154,310.2682,1,2014,3
-117.98498,29.7502,16.959917,0.12134962,5.982784,312.08688,1,2014,3
-116.58856,29.750547,17.040972,0.18564302,6.181982,311.91833,1,2014,3
-117.27921,29.750797,17.038858,0.12946555,6.346314,310.7188,1,2014,3
-118.492325,29.750904,16.768791,0.1275498,5.809045,309.69193,1,2014,3
-116.874565,29.751272,17.29896,0.14457417,6.3789735,310.23108,1,2014,3
-118.6014,29.751444,16.80598,0.119226895,5.7400784,310.26566,1,2014,3
-116.268036,29.751455,16.6194,0.33059844,6.105514,310.68274,1,2014,3
-119.997284,29.753355,16.207735,0.124646194,6.0018163,308.91327,1,2014,3
-119.57568,29.753372,16.330303,0.1217739,6.0242343,309.47678,1,2014,3
-118.06768,29.75493,16.915607,0.12111104,5.887512,310.45352,1,2014,3
-118.76638,29.755774,16.8095,0.10885889,5.7465467,310.34174,1,2014,3
-116.11511,29.756155,16.49644,0.4243852,6.079515,310.39685,1,2014,3
-117.70261,29.760328,16.965693,0.123369366,6.1031957,312.0779,1,2014,3
-119.380516,29.760435,16.516396,0.11039619,5.903914,310.19077,1,2014,3
-115.93468,29.76299,16.155111,1.2377491,5.872274,309.056,1,2014,3
-123.73962,29.763857,17.14883,0.05834443,5.0132823,293.13855,1,2014,3
-119.095566,29.767464,16.813484,0.10515688,5.8052735,310.10886,1,2014,3
-120.03564,29.777058,16.090248,0.120398164,5.9806523,309.5725,1,2014,3
-123.80758,29.780449,17.072355,0.059672862,4.9673533,291.86566,1,2014,3
-124.015656,29.821135,16.867018,0.06849948,4.849103,290.9018,1,2014,3
-120.29709,29.839293,16.182217,0.102248855,6.0267487,308.60043,1,2014,3
-124.283966,29.886143,16.964447,0.06466624,4.7401686,290.49945,1,2014,3
-124.551544,29.932465,17.21823,0.056201722,4.678472,289.868,1,2014,3
-124.81473,29.961718,17.272139,0.054794014,4.537896,288.63458,1,2014,3
-125.01915,29.984276,17.511532,0.04924935,4.51948,287.51285,1,2014,3
-125.1555,30.000162,17.324158,0.052291594,4.6434684,289.76172,1,2014,3
-116.40611,30.000189,16.61337,0.33000633,5.8381505,311.38904,1,2014,3
-117.030304,30.000715,17.218216,0.14293337,6.205296,310.62134,1,2014,3
-117.89091,30.000942,16.685791,0.14555609,5.9003816,311.63354,1,2014,3
-116.660515,30.001062,17.139025,0.16591951,5.8710475,313.48166,1,2014,3
-118.37695,30.001522,16.429287,0.16762573,5.818359,311.1674,1,2014,3
-116.24292,30.002136,16.10601,0.7265573,5.7393556,311.32678,1,2014,3
-118.53434,30.002432,16.39664,0.16195567,5.819321,311.02847,1,2014,3
-119.107544,30.00358,16.640953,0.107542545,5.95483,310.9144,1,2014,3
-115.94064,30.004898,15.797587,1.9886564,5.034779,314.51718,1,2014,3
-116.7723,30.006807,17.234272,0.14404565,6.2013707,312.25504,1,2014,3
-118.86323,30.007036,16.444931,0.13106722,5.8672824,311.26862,1,2014,3
-118.1693,30.008251,16.580774,0.16060634,5.815677,311.58444,1,2014,3
-119.55366,30.008516,16.312819,0.123458825,6.0601153,310.18085,1,2014,3
-119.40612,30.014318,16.446686,0.11313173,6.011256,310.9528,1,2014,3
-117.37579,30.015959,16.973639,0.1359777,6.2426357,311.29816,1,2014,3
-125.33408,30.017618,17.48174,0.046298817,4.579607,289.38452,1,2014,3
-117.58653,30.022007,16.799711,0.1340997,6.0508265,312.65585,1,2014,3
-125.61768,30.035662,17.538183,0.04552529,4.496799,288.6767,1,2014,3
-125.77053,30.046,17.411774,0.05035529,4.370286,288.2691,1,2014,3
-120.23122,30.062107,16.051641,0.12955782,6.0101995,310.20837,1,2014,3
-120.38309,30.078657,16.125893,0.11257933,5.939781,309.398,1,2014,3
-126.06323,30.08667,17.2407,0.057767574,4.207731,286.71228,1,2014,3
