"longitude","latitude","sst","chlc","wind_speed","wind_direction","phoebastria_immutabilis","nyear","nmonth"
-122.26994,28.900743,17.544315,0.08364128,4.229953,262.11893,1,2014,1
-122.5719,28.91727,17.60993,0.08503767,4.419559,261.41153,1,2014,1
-116.348434,28.973024,17.576698,0.20098686,3.9667618,299.27908,1,2014,1
-125.74254,28.990244,17.557753,0.066022635,4.912026,239.67639,1,2014,1
-118.629845,29.003242,17.521252,0.11690175,4.1039495,291.43845,1,2014,1
-122.76692,29.00412,17.159407,0.10338791,4.5951824,261.11163,1,2014,1
-120.37823,29.004217,16.659506,0.1714685,3.5944958,284.50015,1,2014,1
-118.951256,29.005857,17.326181,0.12215107,3.9497848,293.57953,1,2014,1
-119.73569,29.009457,16.971233,0.14437157,3.7198925,289.7989,1,2014,1
-118.39742,29.0136,17.477295,0.12914038,3.9887466,291.93478,1,2014,1
-125.75215,29.016043,17.438755,0.07211171,4.8918915,238.03186,1,2014,1
-119.75285,29.020386,16.784111,0.15705606,3.680978,288.04117,1,2014,1
-119.02876,29.022196,17.14379,0.13087082,3.9054065,292.428,1,2014,1
-121.70959,29.02526,17.23115,0.10652153,3.8225908,274.6516,1,2014,1
-125.74897,29.03953,17.39763,0.07549345,4.8332186,241.31386,1,2014,1
-120.227486,29.089422,16.692768,0.16875094,3.6304407,285.98874,1,2014,1
-119.25165,29.095018,17.13968,0.12647133,3.8202748,290.85446,1,2014,1
-123.036095,29.114246,17.27873,0.09910234,4.6656723,259.00314,1,2014,1
-121.77963,29.144003,17.20537,0.10237972,4.0002,270.57294,1,2014,1
-123.25217,29.191717,17.315666,0.094284505,4.7584243,257.74545,1,2014,1
-119.1578,29.250208,16.991657,0.15005183,3.8725314,293.91742,1,2014,1
-125.77492,29.25021,17.324896,0.07616699,4.73354,239.53445,1,2014,1
-119.72389,29.251577,16.968395,0.14548191,3.7528124,293.55945,1,2014,1
-119.87913,29.253128,16.82829,0.16022238,3.7438617,292.45505,1,2014,1
-118.757614,29.253693,17.058254,0.14171007,3.8239377,295.89496,1,2014,1
