"longitude","latitude","sst","chlc","phoebastria_immutabilis","nyear","nmonth"
-123.815994,28.214891,17.582497,0.08067009,1,2014,1
-123.4325,28.215574,17.772045,0.07335428,1,2014,1
-123.457794,28.21598,17.734142,0.0721605,1,2014,1
-123.73164,28.21669,17.55004,0.082755335,1,2014,1
-123.49793,28.217377,17.70222,0.07134832,1,2014,1
-122.52048,28.219757,18.20882,0.065965034,1,2014,1
-124.178406,28.221107,17.841663,0.06531187,1,2014,1
-121.0895,28.22373,17.60133,0.09484175,1,2014,1
-121.30252,28.22518,17.718777,0.08837793,1,2014,1
-121.490524,28.225185,17.919657,0.084987864,1,2014,1
-121.71206,28.22615,17.834862,0.08287565,1,2014,1
-124.25948,28.227657,17.84572,0.06444473,1,2014,1
-124.344536,28.230503,17.860518,0.06349908,1,2014,1
-121.34081,28.230667,17.77172,0.09155346,1,2014,1
-124.41611,28.235521,17.911114,0.06345566,1,2014,1
-123.56041,28.235983,17.656187,0.08328744,1,2014,1
-123.73877,28.237555,17.543243,0.08355691,1,2014,1
-121.4287,28.239853,17.915684,0.08484192,1,2014,1
-123.57373,28.240753,17.591585,0.07900442,1,2014,1
-122.456024,28.240852,18.302376,0.066536546,1,2014,1
-123.50707,28.242058,17.686867,0.07298865,1,2014,1
-121.37969,28.243692,17.832727,0.0905783,1,2014,1
-122.43528,28.246824,18.295006,0.07226663,1,2014,1
-124.48562,28.249216,17.939022,0.06159168,1,2014,1
-123.619995,28.255531,17.579218,0.083786994,1,2014,1
-122.37678,28.256231,18.266624,0.07168218,1,2014,1
-124.56627,28.25863,18.001907,0.06488257,1,2014,1
-121.02982,28.25877,17.492514,0.094215825,1,2014,1
-123.69664,28.259579,17.556465,0.08635621,1,2014,1
-123.654434,28.260668,17.564293,0.08516692,1,2014,1
-121.74081,28.26098,17.830608,0.08197969,1,2014,1
-124.62643,28.26348,18.030098,0.06239591,1,2014,1
-124.69904,28.269756,18.142042,0.061612315,1,2014,1
-121.96585,28.269814,18.118536,0.070645005,1,2014,1
-121.90974,28.27081,18.008564,0.07009752,1,2014,1
-121.799736,28.27222,17.841524,0.07821508,1,2014,1
-122.310974,28.273235,18.229147,0.07275528,1,2014,1
-121.84982,28.277817,17.900795,0.073201165,1,2014,1
-121.00102,28.278753,17.423061,0.09344623,1,2014,1
-124.78164,28.284637,18.128439,0.06223685,1,2014,1
-124.8398,28.292288,18.151117,0.06373566,1,2014,1
-120.97045,28.293406,17.452847,0.09245921,1,2014,1
-122.257996,28.295715,18.226969,0.07177021,1,2014,1
-121.96657,28.298595,18.057833,0.07128237,1,2014,1
-122.20939,28.307356,18.255777,0.06735674,1,2014,1
-124.93436,28.320637,18.071476,0.06455018,1,2014,1
-121.98799,28.321562,18.095263,0.07167541,1,2014,1
-122.14259,28.32501,18.22209,0.069209285,1,2014,1
-122.04127,28.337393,18.169699,0.07020229,1,2014,1
-120.88598,28.340597,17.42709,0.09736227,1,2014,1
-122.07512,28.341105,18.206253,0.06676353,1,2014,1
-124.97689,28.348185,18.07353,0.063872054,1,2014,1
-122.05,28.350216,18.118507,0.073598675,1,2014,1
-121.984856,28.35518,18.004345,0.069876686,1,2014,1
-125.01844,28.360506,18.016008,0.06320953,1,2014,1
