"longitude","latitude","sst","chlc","phoebastria_immutabilis","nyear","nmonth"
-131.23303,27.28009,19.062916,0.05383866,1,2014,2
-124.27305,27.280153,18.350542,0.050097328,1,2014,2
-122.481064,27.280872,17.880198,0.08588022,1,2014,2
-124.4596,27.283348,18.41044,0.05318006,1,2014,2
-131.60558,27.283695,19.069746,0.057754654,1,2014,2
-122.43669,27.283829,17.940462,0.088752784,1,2014,2
-122.68727,27.285362,17.760384,0.0878684,1,2014,2
-124.34592,27.287169,18.35128,0.052599035,1,2014,2
-131.31273,27.287746,19.092543,0.054420397,1,2014,2
-131.67082,27.289873,19.05879,0.05295978,1,2014,2
-124.50243,27.29279,18.445326,0.056227703,1,2014,2
-122.37052,27.293804,17.983938,0.08201578,1,2014,2
-124.41562,27.294907,18.39021,0.052514814,1,2014,2
-131.75026,27.299112,19.061083,0.056607272,1,2014,2
-131.82997,27.301172,19.108486,0.050079077,1,2014,2
-124.51458,27.3023,18.442799,0.056947585,1,2014,2
-122.5438,27.302948,17.810225,0.08048048,1,2014,2
-131.90765,27.308468,19.15417,0.06344719,1,2014,2
-122.2996,27.311174,17.996376,0.08572259,1,2014,2
-122.467766,27.316488,17.872213,0.084226675,1,2014,2
-131.98848,27.32313,19.17776,0.0542575,1,2014,2
-122.22882,27.326468,18.0357,0.08656529,1,2014,2
-122.40474,27.330622,17.92057,0.08982071,1,2014,2
-132.05472,27.334192,19.156738,0.05953819,1,2014,2
-132.13475,27.337934,19.119602,0.06543715,1,2014,2
-124.51855,27.338364,18.434101,0.052653812,1,2014,2
-132.37599,27.338945,18.949095,0.0484682,1,2014,2
-122.402176,27.340313,17.92035,0.08795751,1,2014,2
-132.29245,27.34064,19.003275,0.059253935,1,2014,2
-132.44823,27.342375,18.932669,0.051863603,1,2014,2
-132.21582,27.343767,19.0558,0.057181355,1,2014,2
-132.52927,27.34497,18.905361,0.052257992,1,2014,2
-122.39706,27.345825,17.960766,0.08514569,1,2014,2
-122.15401,27.347618,18.009554,0.08768413,1,2014,2
-132.61177,27.347803,18.901428,0.055106286,1,2014,2
-132.69308,27.35286,18.880152,0.05872668,1,2014,2
-122.32955,27.354097,17.982712,0.087091416,1,2014,2
-132.76794,27.358315,18.856415,0.049650572,1,2014,2
-122.31475,27.359285,17.983944,0.087487005,1,2014,2
-132.8505,27.360374,18.847513,0.05216335,1,2014,2
-133.87209,27.36063,19.211788,0.053931944,1,2014,2
-133.7966,27.361643,19.197588,0.060799368,1,2014,2
-122.08447,27.366085,18.069935,0.08601591,1,2014,2
-133.98901,27.366386,19.199402,0.058292616,1,2014,2
-133.91206,27.366718,19.201935,0.055590127,1,2014,2
-132.91147,27.370346,18.884645,0.062499017,1,2014,2
-134.06372,27.370394,19.195816,0.051256448,1,2014,2
-122.28624,27.371279,17.990961,0.08710953,1,2014,2
-134.27055,27.372578,19.22179,0.066906415,1,2014,2
-133.72246,27.372799,19.199217,0.05896819,1,2014,2
-134.13448,27.374678,19.170961,0.05245695,1,2014,2
-134.26636,27.375393,19.184925,0.06368326,1,2014,2
-132.99582,27.375507,18.870617,0.06365514,1,2014,2
-122.03557,27.375652,18.077168,0.08652541,1,2014,2
-134.20418,27.375965,19.109064,0.058386136,1,2014,2
-122.28379,27.376423,17.961786,0.086706884,1,2014,2
-134.3083,27.379238,19.206993,0.0687936,1,2014,2
-133.6444,27.382498,19.084974,0.055344455,1,2014,2
-134.34135,27.382563,19.243864,0.06413225,1,2014,2
