"longitude","latitude","sst","chlc","phoebastria_immutabilis","nyear","nmonth"
-115.78579,28.200018,17.32192,0.2146854,1,2014,3
-116.11566,28.200455,17.884743,0.12263086,1,2014,3
-115.89255,28.201178,17.584057,0.14312,1,2014,3
-117.54254,28.201548,18.00214,0.09604704,1,2014,3
-118.28921,28.201632,17.90552,0.09153937,1,2014,3
-115.985085,28.202047,17.728516,0.13716353,1,2014,3
-117.050514,28.202507,17.939991,0.12732878,1,2014,3
-115.829124,28.203197,17.37968,0.17786388,1,2014,3
-118.90631,28.203518,17.972334,0.08070765,1,2014,3
-118.91261,28.20353,17.963686,0.084258474,1,2014,3
-115.65789,28.205048,17.168745,0.24087296,1,2014,3
-117.67566,28.205095,18.080559,0.091626145,1,2014,3
-117.38229,28.205206,17.992756,0.09783202,1,2014,3
-117.67458,28.205477,18.047428,0.09075078,1,2014,3
-120.5633,28.205683,17.040134,0.08216923,1,2014,3
-116.03516,28.206057,17.8149,0.1365848,1,2014,3
-118.014366,28.207869,17.933466,0.0936653,1,2014,3
-117.94529,28.208647,17.986893,0.0901649,1,2014,3
-117.4203,28.208918,17.996778,0.099182025,1,2014,3
-120.55381,28.209562,17.043049,0.084422275,1,2014,3
-117.481995,28.209827,18.001593,0.102729015,1,2014,3
-115.86508,28.210686,17.473171,0.1497106,1,2014,3
-117.90329,28.211323,18.019674,0.091950856,1,2014,3
-118.12578,28.21237,17.894907,0.090517506,1,2014,3
-117.35129,28.212547,17.976927,0.10758854,1,2014,3
-118.87365,28.212795,17.952555,0.08544113,1,2014,3
-119.19148,28.213207,17.76711,0.07831126,1,2014,3
-117.31372,28.213694,17.96815,0.10265932,1,2014,3
-119.990105,28.213842,17.618183,0.07862959,1,2014,3
-116.01083,28.215113,17.776104,0.134223,1,2014,3
-120.51445,28.215378,17.051334,0.08649396,1,2014,3
-119.05031,28.216043,17.889347,0.08158486,1,2014,3
-120.339806,28.216713,17.187183,0.08871597,1,2014,3
-117.598694,28.217201,17.992792,0.09513604,1,2014,3
-117.73941,28.217836,18.097193,0.088203125,1,2014,3
-117.60049,28.218292,18.01133,0.09620453,1,2014,3
-117.48784,28.219145,18.009214,0.09683768,1,2014,3
-117.84746,28.222046,18.067066,0.087203324,1,2014,3
-119.12311,28.223486,17.793118,0.08119776,1,2014,3
-118.8374,28.224201,17.927843,0.08582519,1,2014,3
-117.79551,28.226788,18.07516,0.08695717,1,2014,3
